identifier,size,kitchens,bathrooms,floor,type,year,condition,elevator,subway,district,rooms,recentOwner,longitude,latitude
19428,1,1.0,6.0,4.0,1986.0,4,4,True,False,69318.0,2.0,True,0.2156693232299283,-0.5001413176767697
137369,2,1.0,5.0,4.0,1962.0,3,2,True,False,72945.0,2.0,True,0.2760884359897186,-0.500141364247537
33242,2,1.0,10.0,4.0,2007.0,3,6,True,False,60067.0,3.0,True,-1.3775809147959015,-0.5001412393684938
147325,1,1.0,19.0,3.0,2007.0,1,6,False,False,67339.0,1.0,False,0.7341003480903872,-0.5001413814172991
109748,2,1.0,5.0,4.0,1979.0,3,2,True,False,117634.0,2.0,True,0.32888895529962847,-0.500141287426127
113997,2,2.0,10.0,4.0,2007.0,4,6,False,False,59730.0,2.0,True,-0.16964681215628244,-0.5001413017814642
107810,3,1.0,6.0,4.0,1996.0,3,2,True,False,49154.0,2.0,False,-0.5620654865340493,-0.5001412455637688
31125,1,1.0,19.0,1.0,1999.0,1,6,False,False,79007.0,2.0,True,-0.7393166125714243,-0.5001413050384088
81991,2,1.0,15.0,1.0,1998.0,1,6,True,False,49715.0,2.0,True,-1.3971095019275208,-0.5001412602200194
9683,2,1.0,4.0,4.0,1992.0,4,2,True,False,117634.0,2.0,True,0.32888895529962847,-0.500141287426127
40021,1,1.0,24.0,1.0,2013.0,4,6,False,False,57232.0,2.0,True,-1.3042740209597032,-0.49980181483677455
83719,1,1.0,25.0,1.0,2001.0,4,6,True,False,69767.0,3.0,True,0.20646182526383122,-0.5001413665840407
62112,2,1.0,6.0,4.0,2001.0,3,2,True,False,39215.0,2.0,True,2.5710505138470463,-0.5001412555470119
93528,2,1.0,16.0,1.0,1992.0,3,6,True,False,90890.0,2.0,False,0.3055442812528455,-0.5001412599014052
98599,4,2.0,6.0,4.0,2002.0,4,2,True,False,57507.0,3.0,True,-0.9094923603783296,-0.5001412328369038
7850,1,1.0,18.0,1.0,1993.0,4,6,True,False,76001.0,2.0,True,-0.446971761957884,-0.5001413748149061
86408,3,2.0,6.0,4.0,1998.0,4,2,True,False,85111.0,3.0,False,1.2324188294586689,-0.5001412933912918
77667,2,1.0,18.0,4.0,2009.0,4,6,False,False,45933.0,2.0,False,2.9580506164128897,-0.5001412875677332
7109,1,1.0,6.0,4.0,1996.0,4,2,True,False,42163.0,2.0,False,-1.8248779066972258,-0.5001413027196059
36841,1,1.0,16.0,1.0,2009.0,1,6,False,True,77289.0,1.0,True,-0.6001177126416292,-0.5001413729740243
3665,1,1.0,6.0,4.0,2004.0,4,2,False,False,41888.0,2.0,False,2.231296554974433,-0.50014130889718
36359,1,1.0,28.0,3.0,2009.0,4,6,True,False,54263.0,2.0,True,-0.3859551124569928,-0.5001413507595383
28521,2,1.0,10.0,4.0,1998.0,4,6,True,False,107251.0,2.0,True,1.2328534016340238,-0.4998056224173871
103844,1,1.0,12.0,3.0,1995.0,3,6,True,False,83944.0,2.0,True,-0.21803370780992784,-0.5001413744254888
