-hou	-hou is a suffix (part added to the end of a word) found in many Channel Islands and Normandy names. It is the Norman language version of the Old Norse language holmr, meaning a small island, and often found anglicised elsewhere as "holm". It can still be found in modern Scandinavian languages, e.g. Stockholm. The Norman hommet/houmet also comes from this suffix. In French language, the equivalent is îlot, which is the same as the English "islet".
.htaccess	.htaccess is a type of computer file for the configuring of some server. .htaccess files can be used to create custom error pages, or to prevent visitors from directly linking pictures, also known as hotlinking to their own sites, costing the website owner bandwidth and therefore money.
16-cell	In four dimensional geometry, a 16-cell, is a regular convex polychora, or polytope existing in four dimensions. It is also known as the hexadecachoron. It is one of the six regular convex polychora first described by the Swiss mathematician Ludwig Schläfli in the mid-19th century. John Horton Conway calls it an orthoplex for orthant complex, as well as the entire class of cross-polytopes.
2007 Universal Forum of Cultures	The Universal Forum of Cultures Monterrey 2007 is an international civil-society event that will take place in the city of Monterrey, Mexico. It begins in September and ends in December. The Forum, as it is called often, is a global event which takes place every 3 years, in a different city each time. Its purpose is to unite citizens from a varied range of cultures, languages, religions for inter-cultural dialogue. This massive event will gather an approximate 1.5 million visitors to Monterrey, and is mostly free of charge.
20th century in literature	Literature of the 20th century refers to world literature produced during 1900 through the 1990s. The best-selling works of the 20th century are thought to be Quotations from Chairman Mao (1966, 900 million copies), Harry Potter and the Philosopher's Stone (1997, 120 million copies), And Then There Were None (1939, 115 million copies) and The Lord of the Rings (1954/55, 100 million copies). The Lord of the Rings was also voted "book of the century" in various surveys. Perry Rhodan (1961 to present) boasts as being the best-selling book series, with an estimated total of 1 billion copies sold.
3D projection	A 3D projection is a way of showing a 3D environment on a 2D flat surface or screen. A projection is usually calculated using complex mathematical equations.
4-H	4-H in the United States is a youth organization administered by the National Institute of Food and Agriculture of the United States Department of Agriculture (USDA), with the mission of "engaging youth to reach their fullest potential while advancing the field of youth development." The name represents four personal development areas for the organization's members: head, heart, hands, and health. The organization has over 6.5 million members in the United States. Members are five to 19 years old, in approximately 90,000 clubs. The goal of 4-H is to develop citizenship, leadership, responsibility and life skills of youth through experiential learning programs and a positive youth development approach. Many people think of 4-H as an agriculturally-focused organization as a result of its history. But 4-H today focuses on citizenship, healthy living, science, engineering, and technology programs. Today, 4-H and related programs exist in over eighty countries around the world. The organization and administration varies from country to country. Each of these programs operates independently. They cooperate in international exchanges, global education programs, and communications. The 4-H motto is "To make the best better", while its slogan is "Learn by doing" (sometimes written as "Learn to do by doing").
4D	4D, meaning the common 4 dimensions, is a concept in mathematics. It has been studied by mathematicians and philosophers since the 18th century. Mathematicians who studied four-dimension space in the 19th century include Möbius, Schläfi, Bernhard Riemann, and Charles Howard Hinton. In geometry, the fourth dimension is related to the other three dimensions of length, width, and depth by imagining another direction through space. Just as the dimension of depth can be added to a square to create a cube, a fourth dimension can be added to a cube to create a tesseract. 4D is also an important idea in physics, developed in the 20th century. In physics, it refers to the idea of time as a fourth dimension, added to the (3D) spatial dimensions. Albert Einstein developed the idea of spacetime by connecting space and time together. The difference is that spacetime is not a Euclidean space, but instead is called "Minkowski spacetime".
A Sound of Thunder	"A Sound of Thunder" is a short story by Ray Bradbury. It was first published in 1952 in Collier's magazine. "A Sound of Thunder" is a science fiction story with time travel.
APEX flight academy	The APEX flight academy based in Taitung Airport, Taiwan, is a flight school started in 2014. Known because it is the first and only school approved by the Civil Aviation Authority in Taiwan. It has aircrafts and flight simulators. In 2018, the school signed an partnership deal with the French Civil Aviation University to conduct European Aviation Safety Agency certified trainings.
ARP Spoofing	ARP Spoofing is a method someone (such as a hacker) could use to redirect traffic from a computer through the hacker's computer and then to the internet. This allows the hacker to then read all traffic sent from or to the first computer. This will reveal passwords, credit card numbers, and other private information. A symptom of this sort of attack is a window when browsing to a secure site that says something along the lines of "This website's authentication check has failed". This means that the hacker has forged a secure connection that cannot be verified. So, the warning is presented.
ARPANET	The Advanced Research Projects Agency Network (ARPANET) was an early packet switching network and the first to use TCP/IP. It was made by the DARPA of the United States Department of Defense. It was the main network of a set that came to make up the global Internet.
Aarti	Aarti also spelled arti, arati, arathi, aarthi (In Devanagari: ) is a Hindu Religion ritual. Worshippers offer light to the gods or goddess and sing praise to them.
Abduction	Abduction is the criminal act of taking a person away by means of fraud, persuasion, by threat of violence or by force. Kidnapping, by comparison, is limited to a threat of violence or taking adults or the by the taking of children. But in most jurisdictions they are separate crimes. Unlawful with family members such as removing a child from its parents is abduction.<ref name=USLegal/> It does not matter if the minor (law) consents or not. Kidnapping is the unlawful taking of a person against their Free will.<ref name=USLegal/> Abduction can also mean the taking of any female person for the purposes of prostitution, concubinage or (forced) marriage.<ref name=Farlex/>
Abnormal psychology	Abnormal psychology is a part of psychology. People who study abnormal psychology are psychologists. They are scientists that investigate the mind using the scientific method. Different cultures tend to have different ideas of how strange (abnormal) any behaviour is considered. This tends to change over time within cultures, so people that live in a country at one time in history might consider abnormal what people who live in the same country consider normal years before or years later. Abnormal psychology is often used to understand or to treat people with mental disorders to make life better for them. This is because abnormal behaviour is often defined as when someone is not able to change how they behave to fit different settings. This is often also used to define some mental disorders. When someone cannot change their behaviour to fit the people and situations around them when they need to, it can cause suffering, and the person may be uncomfortable when around people. Their behaviour can be unreasonable and hard to understand. Their behaviour can even be dangerous. Not everyone with a mental disorder is unable to adjust to their surroundings. People who can change to fit their the environment around them more easily than most people can also have behaviour that is considered abnormal and might also have an easier life with the help of a psychologist.
Aboriginal title	Aboriginal title is a common law doctrine that the rights of indigenous peoples to own their Homeland persist after sovereignty has been taken by Colonialism settlers. When granted, it is usually Alienation (property law), meaning it can not be sold, traded or given away. The title may be held by individuals or groups of people, and is Inheritance indefinitely (without end) by those people's descendants. What proof is required for aboriginal title to be recognised depends on the country's laws that govern the doctrine. It usually must include some evidence of historical (living on the land for a long time, usually since before colonial settlement). The majority of court cases granting aboriginal title have been in Aboriginal land rights in Australia, Canada, Malaysia, New Zealand and the United States. Aboriginal title is also referred to as indigenous title, native title and customary title. It is related to the subject of indigenous rights.
Abstract photography	In most cases, photography is about taking pictures of objects or scenes that can directly be recognised. This is done as a way to document things, or to do a portrait, for example. Abstract photography focuses on details, or on the way light is used. As a result, the object that is photographed can no longer be recognised easily. An abstract photograph often only shows a part of a natural scene. The viewer no longer has information about the context. That way, it may create a view that looks unreal. Very often color, light, shadow, texture, shape or form are used to give a feeling, sensation or impression. The image may be produced using traditional photographic equipment like a camera, darkroom or computer, or it may be created without using a camera by directly manipulating Photographic film, paper or other photographic media, including digital presentations.
Abstraction (art)	Abstraction in art history is when art depicts something without caring what it actually looks like.
